task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,0.0,0.0,0.0,0.0,78800,1979,46.33685564994812
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,0.0,1.0,0.6666666666666666,0.8,89830,2808,56.72706341743469
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1.0,1.0,1.0,1.0,103882,3212,72.11365151405334
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1.0,1.0,1.0,1.0,86190,3099,71.83700895309448
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,0.0,1.0,0.5,0.6666666666666666,90118,2626,53.68669533729553
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1.0,1.0,1.0,1.0,100091,3079,58.50787115097046
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1.0,1.0,1.0,1.0,100889,2951,60.34041142463684
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1.0,1.0,1.0,1.0,159483,5237,108.04410481452942
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1.0,1.0,1.0,1.0,85674,2673,64.28934335708618
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,0.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,313595,8585,186.036194562912
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1.0,1.0,1.0,1.0,94148,2989,57.466211795806885
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1.0,1.0,1.0,1.0,91267,2998,64.19010186195374
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,0.0,0.0,0.0,0.0,91652,2391,54.18050718307495
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0.0,1.0,0.16666666666666666,0.2857142857142857,154802,3775,217.06143975257874
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,0.0,1.0,0.5,0.6666666666666666,98776,2741,64.23034715652466
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,1.0,1.0,1.0,1.0,125736,3406,83.04912686347961
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,0.0,0.6666666666666666,1.0,0.8,171990,4251,98.01696968078613
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,238165,5610,129.23001837730408
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1.0,1.0,1.0,1.0,356781,7780,211.9858341217041
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0.0,1.0,0.09090909090909091,0.16666666666666669,139384,3440,75.85976028442383
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,0.0,1.0,0.4,0.5714285714285715,135845,3481,74.53915977478027
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1.0,1.0,1.0,1.0,112880,3818,80.86757445335388
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,1.0,1.0,1.0,1.0,313429,6831,147.313321352005
Webmall_Checkout,Webmall_Checkout_Task7,1.0,1.0,1.0,1.0,161343,3018,70.58253598213196
Webmall_Checkout,Webmall_Checkout_Task1,1.0,1.0,1.0,1.0,160593,3072,75.43870282173157
Webmall_Checkout,Webmall_Checkout_Task3,1.0,1.0,1.0,1.0,132535,2849,70.16735339164734
Webmall_Checkout,Webmall_Checkout_Task5,1.0,1.0,1.0,1.0,114946,3282,74.54486179351807
Webmall_Checkout,Webmall_Checkout_Task4,1.0,1.0,1.0,1.0,163720,3082,93.9116141796112
Webmall_Checkout,Webmall_Checkout_Task6,1.0,1.0,1.0,1.0,129274,2573,58.53111696243286
Webmall_Checkout,Webmall_Checkout_Task2,1.0,1.0,1.0,1.0,118991,3289,108.5746853351593
Webmall_Checkout,Webmall_Checkout_Task8,1.0,1.0,1.0,1.0,161511,2969,110.85045456886292
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1.0,1.0,1.0,1.0,102957,2624,60.300349950790405
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,0.0,0.0,0.0,0.0,78679,1885,43.00674629211426
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,1.0,1.0,1.0,1.0,97982,2745,61.96988391876221
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1.0,1.0,1.0,1.0,96280,3372,74.31202173233032
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,1.0,1.0,1.0,1.0,283485,8004,212.97671818733215
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1.0,1.0,1.0,1.0,78467,2878,52.3728973865509
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1.0,1.0,1.0,1.0,85266,2741,62.95556330680847
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1.0,1.0,1.0,1.0,88021,2543,64.1808853149414
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,1.0,1.0,1.0,1.0,89851,3106,74.20146226882935
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,1.0,1.0,1.0,1.0,93028,2727,65.38642311096191
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,1.0,1.0,1.0,1.0,101110,3165,64.92104244232178
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,1.0,1.0,1.0,1.0,97354,2966,60.56620669364929
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1.0,1.0,1.0,1.0,98184,3082,82.79974293708801
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,1.0,1.0,1.0,1.0,102328,3603,69.77898001670837
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,1.0,1.0,1.0,1.0,90644,2322,59.958411693573
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,1.0,1.0,1.0,1.0,84700,2734,59.536569118499756
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,1.0,1.0,1.0,1.0,108346,4146,125.40793013572693
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task1,0.0,1.0,0.5,0.6666666666666666,134268,4841,100.02202296257019
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task4,0.0,0.0,0.0,0.0,551096,13724,278.34518456459045
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task2,1.0,1.0,1.0,1.0,121860,4049,94.12091493606567
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task6,0.0,1.0,0.6666666666666666,0.8,414275,9510,265.4355697631836
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task3,0.0,1.0,0.5,0.6666666666666666,76791,2588,72.31538677215576
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task5,0.0,0.0,0.0,0.0,183302,4599,107.6995530128479
Webmall_EndToEnd,Webmall_EndToEnd_Task4,1.0,1.0,1.0,1.0,244863,4400,109.30627608299255
Webmall_EndToEnd,Webmall_EndToEnd_Task6,1.0,1.0,1.0,1.0,227089,4703,123.57810258865356
Webmall_EndToEnd,Webmall_EndToEnd_Task7,1.0,1.0,1.0,1.0,528948,10926,288.08345675468445
Webmall_EndToEnd,Webmall_EndToEnd_Task1,1.0,1.0,1.0,1.0,280477,5206,127.94031190872192
Webmall_EndToEnd,Webmall_EndToEnd_Task8,0.0,0.0,0.0,0.0,162175,4562,96.21515417098999
Webmall_EndToEnd,Webmall_EndToEnd_Task2,0.0,0.0,0.0,0.0,255099,5133,140.78146862983704
Webmall_EndToEnd,Webmall_EndToEnd_Task3,0.0,0.0,0.0,0.0,92865,2332,85.86671090126038
Webmall_EndToEnd,Webmall_EndToEnd_Task5,1.0,1.0,1.0,1.0,300774,5971,141.64525055885315
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task2,1.0,1.0,1.0,1.0,155181,4650,100.96081781387329
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task1,0.0,0.0,0.0,0.0,128159,4152,92.05099177360535
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task3,1.0,1.0,1.0,1.0,160381,4461,99.95508599281311
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task4,0.0,0.0,0.0,0.0,173142,3355,89.06536436080933
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task5,0.0,0.0,0.0,0.0,201970,4308,108.91617465019226
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task8,0.0,0.0,0.0,0.0,97725,3301,68.68141341209412
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,0.0,0.0,0.0,0.0,61161,2358,50.52123260498047
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task6,1.0,1.0,1.0,1.0,146891,5319,100.734708070755
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,1.0,1.0,1.0,1.0,238885,6323,130.64381980895996
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task10,0.0,0.0,0.0,0.0,91162,2766,74.12133884429932
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,0.0,0.0,0.0,0.0,145722,3600,94.97396898269653
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,0.0,0.0,0.0,0.0,89811,2832,58.26174473762512
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task9,0.0,0.0,0.0,0.0,149175,4361,91.92055797576904
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0.0,0.0,0.0,0.0,96009,3152,69.53326368331909
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task7,1.0,1.0,1.0,1.0,89547,3436,83.15986680984497
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,0.0,1.0,0.2222222222222222,0.3636363636363636,204539,4101,96.14487051963806
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0.0,0.6153846153846154,1.0,0.761904761904762,300760,8695,187.27699971199036
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,0.0,1.0,0.75,0.8571428571428571,147902,4039,87.00439715385437
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,0.0,1.0,0.3333333333333333,0.5,197380,5028,144.79636645317078
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,1.0,1.0,1.0,1.0,91134,2321,91.51954936981201
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0.0,0.125,0.25,0.16666666666666666,248139,6202,155.64677691459656
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,139596,4061,77.37125945091248
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1.0,1.0,1.0,1.0,124852,4572,94.55697417259216
Webmall_Substitutes,Webmall_Substitutes_Task6,0.0,0.0,0.0,0.0,112426,3331,79.30808901786804
Webmall_Substitutes,Webmall_Substitutes_Task5,1.0,1.0,1.0,1.0,84007,2891,60.71115684509277
Webmall_Substitutes,Webmall_Substitutes_Task2,1.0,1.0,1.0,1.0,87475,3889,69.72148370742798
Webmall_Substitutes,Webmall_Substitutes_Task1,0.0,0.0,0.0,0.0,77320,2630,53.76272463798523
Webmall_Substitutes,Webmall_Substitutes_Task4,0.0,0.0,0.0,0.0,183638,4583,91.96175694465637
Webmall_Substitutes,Webmall_Substitutes_Task3,0.0,0.0,0.0,0.0,96841,3039,58.192927837371826
